id,url,imageUrl,date,denomination,metal,diameter,title,weight,mint,reporter,reporterUrl,creationTime,additionalDetails
58627,https://www.zeno.ru/showphoto.php?photo=58627,https://zeno.ru/data/7532/medium/File6779_.jpg,?,dirham,AR,30,"AY, Sasanian AR drachm, Khusru II","3,7",AY,viur,https://www.zeno.ru/member.php?uid=1503,20 May 08 11:52:42 +0400,
90886,https://www.zeno.ru/showphoto.php?photo=90886,https://zeno.ru/data/7528/medium/001-2_37-24_83mm.jpg,,drachm,AR,24.83,"GD yr. 33, Khusru II AR Drachm",2.37,,nikw,https://www.zeno.ru/member.php?uid=1911,20 Oct 10 23:14:35 +0400,
264199,https://www.zeno.ru/showphoto.php?photo=264199,https://zeno.ru/data/2807/medium/Kaykhusru-24.jpg,?,Drakhm,AR,29,"Sasanid , Kaykhusru 2 , AR drakhme",3.62,?,Ombo,https://www.zeno.ru/member.php?uid=130,13 Dec 20 11:55:36 +0300,
133138,https://www.zeno.ru/showphoto.php?photo=133138,https://zeno.ru/data/2807/medium/12911.JPG,,,AV,,"AV dénár, mint?, 33rd r.y.",,,Vladimir Suchy,https://www.zeno.ru/member.php?uid=214,,"eBay item number: 301048725911:
Sasaniden - Khusru II., 590-627 AD

Dinar Jahr 33, 622/623 AD (Gold), Unsichere Münzstätte

Vs.: Brustbild von vorne
Rs.: Stehender Herrscher

Gewicht: 3,93g, Erhaltung: sehr schön

K. Mosig-Walburg. 'Sonderprägungen des Xusrō II vom Typ Göbl V/6 und VI/7,' Iranica Antiqua XXVIII (1993), 2-7; 
Göbl type VI/7; 
Paruck 460; 
Saeedi -; 
Sunrise 989. 

Cf. Classical numismatic Group Triton XIV (2011) #529
Starting Price: EUR 1.00 / Winning bid: EUR 1,687.70 (Approximately US $2,325.31)"
178453,https://www.zeno.ru/showphoto.php?photo=178453,https://zeno.ru/data/7519/medium/KhusruIIBBA13.jpg,BBA,Drachm,AR,,"BBA yr. 13, Khusru II AR Drachm",,13,Mervin,https://www.zeno.ru/member.php?uid=908,25 Jan 17 00:01:05 +0300,
205081,https://www.zeno.ru/showphoto.php?photo=205081,https://zeno.ru/data/7526/medium/zzz56.jpg,?,drachm,AR,31,"ART yr ?, Khusru II.",4.1,ART,alamir,https://www.zeno.ru/member.php?uid=2354,03 Jun 18 18:19:23 +0300,
261151,https://www.zeno.ru/showphoto.php?photo=261151,https://zeno.ru/data/2807/medium/2_74g_30_mm.jpg,,drachm,silver washed AE,30,"Silver washed AE drachm,  fouree Khusru II Sassanian",2.74,,charm,https://www.zeno.ru/member.php?uid=2,26 Oct 20 14:26:05 +0300,"Unearthed in Kyrgyzstan, Issyk-Kul' lake area.
Image property: A.M. Kamyshev."
202812,https://www.zeno.ru/showphoto.php?photo=202812,https://zeno.ru/data/7526/medium/DSC_3173.JPG,,,Tin-zinc alloy,32,"Jeweller's cast imitation of a drachm of Khusro II, ART",8.2,ART,frants1,https://www.zeno.ru/member.php?uid=836,16 Apr 18 15:53:04 +0300,
114239,https://www.zeno.ru/showphoto.php?photo=114239,https://zeno.ru/data/2807/medium/SNV81190_92.jpg,,,,,"Khusru II, cast modern fake?",4.25,,Newcoins,https://www.zeno.ru/member.php?uid=1636,11 Aug 12 13:32:53 +0400,"http://www.forumancientcoins.com/board/index.php?topic=56451.0

http://forums-su.com/viewtopic.php?f=150&t=384982

http://rasmircoins.ucoz.ru/forum/16-9192-1"
226894,https://www.zeno.ru/showphoto.php?photo=226894,https://zeno.ru/data/7532/medium/Kaykhusru-2.jpg,??,DRakhm,AR,32,"AY, AR drakhm Khusru II.",4.00,AY,Ombo,https://www.zeno.ru/member.php?uid=130,08 Jul 19 11:21:28 +0300,
86863,https://www.zeno.ru/showphoto.php?photo=86863,https://zeno.ru/data/7554/medium/Sasanian_Hosraw_II_YZ.jpg,,Drachm,AR,31,"YZ, Khusru II",,YZ,Vestik,https://www.zeno.ru/member.php?uid=1589,14 Jun 10 02:02:51 +0400,"YZ, Khusru II"
171611,https://www.zeno.ru/showphoto.php?photo=171611,https://zeno.ru/data/7554/medium/Pictures50.jpg,x2,drachm,AR,31,"YZ yr. x2, Khusru II AR drachm",4.2,YZ,sulovilen,https://www.zeno.ru/member.php?uid=1584,25 Aug 16 22:13:57 +0300,
215652,https://www.zeno.ru/showphoto.php?photo=215652,https://zeno.ru/data/2807/medium/6_Sassanid_Khusro_II_yr_vr_mint_vr_4_2g31-32mm_z.jpg,,,,,"? yr. ?, Khusru II AR drachm",,,Keesuit,https://www.zeno.ru/member.php?uid=958,03 Jan 19 17:22:35 +0300,
288868,https://www.zeno.ru/showphoto.php?photo=288868,https://zeno.ru/data/7553/medium/Sasanid_Khusro_II_WYHC_yr7_4_1g30-32mm_z.jpg,,,,,"WYHC yr. 7, Sasanian AR drachm, Khusru II",,,Keesuit,https://www.zeno.ru/member.php?uid=958,04 Feb 22 16:38:57 +0300,
215653,https://www.zeno.ru/showphoto.php?photo=215653,https://zeno.ru/data/7523/medium/5_Sassanid_Khusro_II_yr_2_mint_DA_3_4g26-28mm_z.jpg,,,,,"DA yr. 2, Sasanian AR drachm, Khusru II",,,Keesuit,https://www.zeno.ru/member.php?uid=958,03 Jan 19 17:32:21 +0300,
215654,https://www.zeno.ru/showphoto.php?photo=215654,https://zeno.ru/data/7549/medium/4_Sassanid_Khusro_II_yr_3_mint_ST_4_0g28-30mm_z.jpg,,,,,"ST yr. 3, Sasanian, Khusru II",,,Keesuit,https://www.zeno.ru/member.php?uid=958,03 Jan 19 17:46:54 +0300,
215668,https://www.zeno.ru/showphoto.php?photo=215668,https://zeno.ru/data/7521/medium/8_Sassanid_Khusro_II_yr_31_mint_AHM_4_1g31-33mm_z.jpg,,,,,"AHM yr. 31, Khusru II AR drachm",,,Keesuit,https://www.zeno.ru/member.php?uid=958,03 Jan 19 21:00:31 +0300,
70773,https://www.zeno.ru/showphoto.php?photo=70773,https://zeno.ru/data/7541/medium/sassanian_Khusru_II_590-627_1_dirhem_M20_4_11g_32mm.jpg,,drachm,AR,32,"LD yr. 3x, Khusru II AR drachm",4.11,LD,Bacchus,https://www.zeno.ru/member.php?uid=1418,14 May 09 15:47:13 +0400,Mitchiner 20
73591,https://www.zeno.ru/showphoto.php?photo=73591,https://zeno.ru/data/7523/medium/sasany01.jpg,,drachm,AR,28.42,"DA yr.  4, Khusru II AR Drachm",3.06,,Rasmir,https://www.zeno.ru/member.php?uid=846,23 Jul 09 15:25:12 +0400,
73593,https://www.zeno.ru/showphoto.php?photo=73593,https://zeno.ru/data/7552/medium/sasany03.jpg,,drachm,AR,27.02,"WYH yr. 35, Khusru II AR Drachm",2.72,,Rasmir,https://www.zeno.ru/member.php?uid=846,23 Jul 09 15:25:18 +0400,
